epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,282.756,0.428,0.54512,0.85344,0.97059,0.97756,0.98715,0.87195,0.48893,0.4222,0.90686,0.000540037,0.000540037,0.000540037
43,289.701,0.42156,0.53928,0.85465,0.97486,0.97552,0.98751,0.87549,0.47842,0.44541,0.89936,0.000531038,0.000531038,0.000531038
44,296.366,0.40511,0.52299,0.84431,0.98248,0.9695,0.98778,0.86032,0.49553,0.4167,0.90568,0.000522039,0.000522039,0.000522039
45,303.193,0.44978,0.54569,0.83456,0.98352,0.97597,0.9884,0.86791,0.49427,0.41627,0.89075,0.00051304,0.00051304,0.00051304
46,310.005,0.42105,0.52677,0.82585,0.98086,0.97794,0.98784,0.87922,0.463,0.38804,0.88589,0.00050404,0.00050404,0.00050404
47,316.781,0.40329,0.50568,0.83802,0.98169,0.97983,0.98856,0.88656,0.44575,0.37998,0.87916,0.000495041,0.000495041,0.000495041
48,323.474,0.4241,0.53519,0.84806,0.98324,0.9754,0.9889,0.88172,0.44042,0.37114,0.87923,0.000486042,0.000486042,0.000486042
49,330.269,0.39699,0.51413,0.83862,0.97463,0.98185,0.98838,0.87805,0.45221,0.38601,0.88639,0.000477043,0.000477043,0.000477043
50,336.937,0.37904,0.49194,0.83575,0.9782,0.97741,0.98859,0.88459,0.45724,0.38654,0.88223,0.000468044,0.000468044,0.000468044
51,343.761,0.3995,0.50481,0.83742,0.98173,0.97707,0.98843,0.88034,0.44595,0.37666,0.88148,0.000459045,0.000459045,0.000459045
52,350.406,0.38182,0.50353,0.84604,0.9818,0.97543,0.98872,0.88647,0.42627,0.37417,0.88024,0.000450046,0.000450046,0.000450046
53,356.961,0.37943,0.48335,0.82613,0.98109,0.97485,0.98852,0.8783,0.45671,0.38644,0.88551,0.000441047,0.000441047,0.000441047
54,363.805,0.37507,0.48178,0.8438,0.9801,0.97977,0.98846,0.88386,0.43861,0.38138,0.87601,0.000432048,0.000432048,0.000432048
55,370.405,0.38042,0.4778,0.83299,0.98278,0.9793,0.98793,0.8872,0.42472,0.36615,0.87216,0.000423049,0.000423049,0.000423049
56,377.136,0.35807,0.46757,0.82288,0.98421,0.97624,0.98793,0.88064,0.43574,0.35797,0.88353,0.000414049,0.000414049,0.000414049
57,383.683,0.38876,0.48241,0.83061,0.98277,0.97842,0.9882,0.891,0.42052,0.3546,0.87859,0.00040505,0.00040505,0.00040505
58,390.434,0.37286,0.46648,0.83268,0.97896,0.98169,0.98763,0.88133,0.43589,0.35273,0.88943,0.000396051,0.000396051,0.000396051
59,397.123,0.3666,0.46788,0.82543,0.98135,0.97858,0.9872,0.88381,0.42286,0.34896,0.8805,0.000387052,0.000387052,0.000387052
60,403.969,0.36456,0.48364,0.82885,0.97808,0.97829,0.98696,0.89082,0.3955,0.3337,0.86761,0.000378053,0.000378053,0.000378053
61,410.769,0.3561,0.46828,0.82849,0.97923,0.97546,0.98697,0.89399,0.39288,0.34191,0.86829,0.000369054,0.000369054,0.000369054
62,417.382,0.3695,0.46681,0.83641,0.98076,0.97456,0.98717,0.8987,0.3815,0.33616,0.86342,0.000360055,0.000360055,0.000360055
63,424.04,0.33409,0.43593,0.82502,0.97931,0.97855,0.98833,0.89416,0.38502,0.32911,0.86435,0.000351056,0.000351056,0.000351056
64,430.828,0.3482,0.44753,0.82796,0.97996,0.97804,0.98761,0.89174,0.40551,0.3436,0.8689,0.000342057,0.000342057,0.000342057
65,437.535,0.34315,0.4454,0.82333,0.98673,0.97257,0.98719,0.89088,0.38951,0.33785,0.87181,0.000333058,0.000333058,0.000333058
66,443.785,0.33607,0.44471,0.82094,0.9889,0.97298,0.98678,0.87765,0.43092,0.35339,0.89009,0.000324058,0.000324058,0.000324058
67,449.953,0.35003,0.44931,0.8242,0.98891,0.97368,0.98663,0.87602,0.42481,0.34588,0.88819,0.000315059,0.000315059,0.000315059
68,456.207,0.32966,0.42843,0.82147,0.98897,0.97693,0.98686,0.88758,0.39797,0.32886,0.87246,0.00030606,0.00030606,0.00030606
69,462.471,0.33818,0.42803,0.82841,0.98943,0.97498,0.987,0.88781,0.40611,0.32835,0.87504,0.000297061,0.000297061,0.000297061
70,468.828,0.34421,0.43405,0.83124,0.99071,0.97116,0.98731,0.89324,0.38728,0.3196,0.86376,0.000288062,0.000288062,0.000288062
71,475.236,0.35454,0.44197,0.82953,0.98755,0.97144,0.98731,0.89278,0.38676,0.32276,0.86555,0.000279063,0.000279063,0.000279063
72,481.646,0.34417,0.45341,0.82464,0.98524,0.97223,0.98753,0.89296,0.42396,0.33473,0.87151,0.000270064,0.000270064,0.000270064
73,488.223,0.3494,0.42939,0.82646,0.98532,0.97027,0.98765,0.90126,0.37739,0.32283,0.85929,0.000261065,0.000261065,0.000261065
74,494.842,0.321,0.43207,0.83207,0.98193,0.97385,0.9883,0.89531,0.38209,0.31842,0.86621,0.000252066,0.000252066,0.000252066
75,501.609,0.33135,0.43604,0.83123,0.98501,0.9712,0.98819,0.89066,0.4016,0.32937,0.87319,0.000243067,0.000243067,0.000243067
76,508.609,0.32862,0.42384,0.82357,0.98296,0.97317,0.98822,0.8976,0.3781,0.31537,0.86529,0.000234068,0.000234068,0.000234068
77,514.81,0.30754,0.40891,0.81952,0.98177,0.97704,0.98834,0.89596,0.38259,0.31665,0.86507,0.000225068,0.000225068,0.000225068
78,520.932,0.34019,0.42325,0.82307,0.98256,0.97686,0.98865,0.8922,0.39189,0.31544,0.87,0.000216069,0.000216069,0.000216069
79,527.116,0.30968,0.40501,0.82024,0.98289,0.97662,0.9888,0.89963,0.36822,0.31469,0.86176,0.00020707,0.00020707,0.00020707
80,533.208,0.31682,0.40787,0.83435,0.98525,0.97622,0.98893,0.89926,0.37284,0.3071,0.86176,0.000198071,0.000198071,0.000198071
81,539.433,0.30508,0.394,0.80647,0.98667,0.9756,0.98886,0.89147,0.38569,0.31174,0.87158,0.000189072,0.000189072,0.000189072
82,545.445,0.30895,0.38841,0.81474,0.98705,0.97539,0.98878,0.89411,0.38331,0.30968,0.87155,0.000180073,0.000180073,0.000180073
83,551.654,0.2815,0.39354,0.81332,0.98605,0.97501,0.98909,0.89953,0.36356,0.30316,0.86174,0.000171074,0.000171074,0.000171074
84,557.7,0.30829,0.38983,0.82986,0.986,0.97496,0.98901,0.89897,0.36832,0.3046,0.86404,0.000162075,0.000162075,0.000162075
85,563.965,0.30885,0.40166,0.82684,0.98179,0.97624,0.98868,0.89545,0.3698,0.30584,0.8682,0.000153076,0.000153076,0.000153076
86,570.232,0.31886,0.41738,0.81831,0.98047,0.97691,0.9887,0.89706,0.36657,0.30514,0.86642,0.000144077,0.000144077,0.000144077
87,576.434,0.2996,0.39283,0.81113,0.98045,0.97725,0.98872,0.90074,0.35795,0.30424,0.85973,0.000135077,0.000135077,0.000135077
88,583.09,0.29999,0.39119,0.82305,0.98082,0.97701,0.9887,0.90356,0.34964,0.30262,0.85623,0.000126078,0.000126078,0.000126078
89,589.51,0.31213,0.39214,0.82188,0.98007,0.97729,0.98875,0.90059,0.35035,0.29733,0.85682,0.000117079,0.000117079,0.000117079
90,595.614,0.30004,0.40053,0.81959,0.97893,0.97823,0.98886,0.89978,0.35386,0.29481,0.85703,0.00010808,0.00010808,0.00010808
91,631.593,0.29146,0.46792,0.80417,0.97519,0.98122,0.98868,0.89953,0.36052,0.29625,0.85818,9.9081e-05,9.9081e-05,9.9081e-05
92,637.554,0.26125,0.43161,0.7953,0.98594,0.97005,0.98834,0.89773,0.37265,0.31002,0.86076,9.00819e-05,9.00819e-05,9.00819e-05
93,643.613,0.28818,0.49252,0.80634,0.98587,0.97138,0.9881,0.89768,0.36795,0.31459,0.86062,8.10828e-05,8.10828e-05,8.10828e-05
94,649.592,0.26074,0.4741,0.79485,0.98563,0.9718,0.98779,0.89715,0.37161,0.30556,0.86092,7.20837e-05,7.20837e-05,7.20837e-05
95,655.748,0.25462,0.43817,0.78845,0.98586,0.97203,0.98774,0.89856,0.37427,0.30117,0.86115,6.30846e-05,6.30846e-05,6.30846e-05
96,661.879,0.25732,0.41656,0.79344,0.98487,0.97255,0.98754,0.90046,0.36396,0.2981,0.8598,5.40855e-05,5.40855e-05,5.40855e-05
97,667.895,0.23755,0.41258,0.78521,0.9852,0.97315,0.98769,0.90072,0.35928,0.29584,0.86018,4.50864e-05,4.50864e-05,4.50864e-05
98,673.87,0.24025,0.40668,0.79592,0.98701,0.9736,0.9875,0.90024,0.35814,0.29476,0.85984,3.60873e-05,3.60873e-05,3.60873e-05
99,679.759,0.23093,0.39625,0.78644,0.98585,0.97443,0.98734,0.89877,0.35964,0.29415,0.8613,2.70882e-05,2.70882e-05,2.70882e-05
100,685.742,0.24761,0.41184,0.79037,0.98528,0.97432,0.98726,0.89686,0.36051,0.29421,0.86238,1.80891e-05,1.80891e-05,1.80891e-05
