epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3852,1.26486,3.81522,1.29351,0.0127,0.45794,0.08509,0.06461,0.92311,3.52686,1.1248,6.363e-05,6.363e-05,6.363e-05
2,17.0283,1.04792,3.50897,1.11271,0.02444,0.53187,0.22808,0.16605,0.88464,3.45741,1.03637,0.000135,0.000135,0.000135
3,23.4773,1.03834,3.18001,1.09646,0.03522,0.7398,0.31341,0.23799,0.79281,3.37304,0.96846,0.00020493,0.00020493,0.00020493
4,29.9308,1.04155,2.87187,1.06809,0.03274,0.80477,0.37733,0.30239,0.76266,3.29335,0.93208,0.000273421,0.000273421,0.000273421
5,36.4664,1.00414,2.4748,1.0859,0.02942,0.86831,0.39717,0.30674,0.73077,3.22802,0.92328,0.000340471,0.000340471,0.000340471
6,43.0023,0.97074,1.92213,1.06171,0.0308,0.91399,0.50236,0.35313,0.837,3.14009,0.95703,0.000406082,0.000406082,0.000406082
7,49.4653,0.88758,1.50973,1.02726,0.42926,0.49169,0.50213,0.36185,0.81007,3.06934,0.95344,0.000470253,0.000470253,0.000470253
8,55.6985,0.87137,1.31061,1.00621,0.99359,0.28533,0.57541,0.43288,0.77717,2.82453,0.9581,0.000532984,0.000532984,0.000532984
9,61.8855,0.77629,1.1091,0.95844,0.94756,0.36657,0.62848,0.5044,0.76989,2.60637,0.98128,0.000594275,0.000594275,0.000594275
10,68.0859,0.77351,1.06951,0.95632,0.95774,0.35607,0.7612,0.59031,0.78802,2.48696,1.00459,0.000654126,0.000654126,0.000654126
11,74.2731,0.79853,0.99881,0.9635,0.95241,0.39028,0.85646,0.65356,0.83928,2.34716,1.02442,0.000712538,0.000712538,0.000712538
12,80.5255,0.78456,0.9975,0.944,0.93607,0.43297,0.89811,0.69129,0.81264,2.14477,1.00599,0.000769509,0.000769509,0.000769509
13,86.8119,0.79269,0.95638,0.94989,0.92987,0.53785,0.93134,0.72796,0.78442,1.8899,1.01332,0.000801011,0.000801011,0.000801011
14,93.1584,0.66985,0.83704,0.90921,0.943,0.80971,0.95984,0.75391,0.76916,1.49404,0.99912,0.000792012,0.000792012,0.000792012
15,99.4539,0.7494,0.87393,0.93876,0.9344,0.85383,0.95678,0.7927,0.69731,1.31816,0.97196,0.000783013,0.000783013,0.000783013
16,106.725,0.68396,0.77819,0.90881,0.92772,0.87568,0.96232,0.79289,0.69783,1.04359,0.97937,0.000774013,0.000774013,0.000774013
17,113.05,0.66445,0.78095,0.91472,0.93544,0.91044,0.97148,0.81275,0.63827,0.87669,0.96166,0.000765014,0.000765014,0.000765014
18,119.14,0.62852,0.7383,0.89283,0.93535,0.9136,0.96409,0.78144,0.65726,0.87456,0.96625,0.000756015,0.000756015,0.000756015
19,125.103,0.65963,0.74494,0.91911,0.946,0.91788,0.96017,0.7745,0.74986,0.94775,0.97628,0.000747016,0.000747016,0.000747016
20,131.169,0.71711,0.74412,0.91241,0.94826,0.92255,0.96748,0.79492,0.69569,0.77171,0.9681,0.000738017,0.000738017,0.000738017
21,137.289,0.66101,0.7349,0.89478,0.95957,0.92054,0.97455,0.79617,0.70085,0.668,0.95547,0.000729018,0.000729018,0.000729018
22,143.223,0.64937,0.70825,0.90942,0.96351,0.9399,0.97882,0.82967,0.60458,0.60008,0.91943,0.000720019,0.000720019,0.000720019
23,149.252,0.6655,0.71944,0.89832,0.9683,0.94808,0.98135,0.80151,0.70196,0.59802,0.94282,0.00071102,0.00071102,0.00071102
24,155.409,0.65303,0.74728,0.9126,0.96059,0.94336,0.98367,0.83171,0.59967,0.59189,0.91894,0.000702021,0.000702021,0.000702021
25,161.453,0.60281,0.68887,0.89683,0.96892,0.94949,0.98485,0.8442,0.55378,0.55033,0.90535,0.000693022,0.000693022,0.000693022
26,167.653,0.60943,0.67005,0.89207,0.97468,0.97095,0.98464,0.81914,0.6191,0.53345,0.94384,0.000684022,0.000684022,0.000684022
27,173.735,0.61048,0.67787,0.89164,0.97712,0.96983,0.98858,0.84669,0.58262,0.51042,0.92061,0.000675023,0.000675023,0.000675023
28,179.767,0.55432,0.64,0.87236,0.97955,0.97049,0.98823,0.85768,0.52718,0.50211,0.9174,0.000666024,0.000666024,0.000666024
29,186.007,0.53155,0.63106,0.86526,0.97588,0.977,0.98919,0.85528,0.57178,0.51014,0.92644,0.000657025,0.000657025,0.000657025
30,192.607,0.55175,0.64095,0.89232,0.97639,0.97795,0.98856,0.86051,0.53405,0.49244,0.91876,0.000648026,0.000648026,0.000648026
31,199.101,0.52367,0.61938,0.88055,0.97667,0.97504,0.9873,0.85337,0.53821,0.50695,0.9243,0.000639027,0.000639027,0.000639027
32,205.872,0.54563,0.62829,0.86696,0.97311,0.96577,0.9862,0.84584,0.56328,0.5338,0.93755,0.000630028,0.000630028,0.000630028
33,212.523,0.49614,0.5931,0.86635,0.97298,0.96626,0.9858,0.81753,0.63575,0.53652,0.96601,0.000621029,0.000621029,0.000621029
34,218.632,0.49591,0.60746,0.85977,0.97692,0.97156,0.98781,0.84706,0.55635,0.49818,0.92403,0.00061203,0.00061203,0.00061203
35,224.619,0.51836,0.59137,0.86677,0.983,0.96978,0.9875,0.83763,0.57332,0.46557,0.9323,0.000603031,0.000603031,0.000603031
36,230.761,0.49289,0.5555,0.85711,0.9828,0.97045,0.98741,0.85106,0.53366,0.46828,0.91512,0.000594031,0.000594031,0.000594031
37,236.812,0.53742,0.5902,0.87467,0.97827,0.97051,0.98789,0.86976,0.4923,0.44598,0.90513,0.000585032,0.000585032,0.000585032
38,243.002,0.49971,0.56971,0.86393,0.97549,0.96437,0.98468,0.81989,0.60896,0.47812,0.94155,0.000576033,0.000576033,0.000576033
39,248.94,0.49493,0.57489,0.8597,0.97635,0.96177,0.98591,0.84489,0.55398,0.47775,0.92673,0.000567034,0.000567034,0.000567034
40,255.039,0.53699,0.57517,0.86231,0.97143,0.952,0.98499,0.7948,0.72389,0.52756,0.96839,0.000558035,0.000558035,0.000558035
41,260.968,0.50498,0.58233,0.87783,0.9711,0.95953,0.98422,0.84396,0.54725,0.47975,0.92628,0.000549036,0.000549036,0.000549036
42,267.053,0.48654,0.56525,0.85818,0.97579,0.96237,0.98468,0.85292,0.521,0.44273,0.92659,0.000540037,0.000540037,0.000540037
